# time_s bgx bgy bgz bax bay baz
4845.04 0 0 0 0 0 0
4845.14 0 0 0 0 0 0
4845.24 0 0 0 0 0 0
4845.34 0 0 0 0 0 0
4845.44 0 0 0 0 0 0
4845.54 0 0 0 0 0 0
4845.64 0 0 0 0 0 0
4845.74 0 0 0 0 0 0
4845.84 0 0 0 0 0 0
4845.94 0 0 0 0 0 0
4846.04 0 0 0 0 0 0
4846.14 0 0 0 0 0 0
4846.24 0 0 0 0 0 0
4846.34 0 0 0 0 0 0
4846.44 0 0 0 0 0 0
4846.54 0 0 0 0 0 0
4846.64 0 0 0 0 0 0
4846.74 0 0 0 0 0 0
4846.84 0 0 0 0 0 0
4846.94 0 0 0 0 0 0
4847.04 0 0 0 0 0 0
4847.14 0 0 0 0 0 0
4847.24 0 0 0 0 0 0
4847.34 0 0 0 0 0 0
4847.44 0 0 0 0 0 0
4847.54 0 0 0 0 0 0
4847.64 0 0 0 0 0 0
4847.74 0 0 0 0 0 0
4847.84 0 0 0 0 0 0
4847.94 0 0 0 0 0 0
4848.04 0 0 0 0 0 0
4848.14 0 0 0 0 0 0
4848.24 0 0 0 0 0 0
4848.34 0 0 0 0 0 0
4848.44 0 0 0 0 0 0
4848.54 0 0 0 0 0 0
4848.64 0 0 0 0 0 0
4848.74 0 0 0 0 0 0
4848.84 0 0 0 0 0 0
4848.94 0 0 0 0 0 0
4849.04 0 0 0 0 0 0
4849.14 0 0 0 0 0 0
4849.24 0 0 0 0 0 0
4849.34 0 0 0 0 0 0
4849.44 0 0 0 0 0 0
4849.54 0 0 0 0 0 0
4849.64 0 0 0 0 0 0
4849.74 0 0 0 0 0 0
4849.84 0 0 0 0 0 0
4849.94 0 0 0 0 0 0
4850.04 0 0 0 0 0 0
4850.14 0 0 0 0 0 0
4850.24 0 0 0 0 0 0
4850.34 0 0 0 0 0 0
4850.44 0 0 0 0 0 0
4850.54 0 0 0 0 0 0
4850.64 0 0 0 0 0 0
4850.74 0 0 0 0 0 0
4850.84 0 0 0 0 0 0
4850.94 0 0 0 0 0 0
4851.04 0 0 0 0 0 0
4851.14 0 0 0 0 0 0
4851.24 0 0 0 0 0 0
4851.34 0 0 0 0 0 0
4851.44 0 0 0 0 0 0
4851.54 0 0 0 0 0 0
4851.64 0 0 0 0 0 0
4851.74 0 0 0 0 0 0
4851.84 0 0 0 0 0 0
4851.94 0 0 0 0 0 0
4852.04 0 0 0 0 0 0
4852.14 0 0 0 0 0 0
4852.24 0 0 0 0 0 0
4852.34 0 0 0 0 0 0
4852.44 0 0 0 0 0 0
4852.54 0 0 0 0 0 0
4852.64 0 0 0 0 0 0
4852.74 0 0 0 0 0 0
4852.84 0 0 0 0 0 0
4852.94 0 0 0 0 0 0
4853.04 0 0 0 0 0 0
4853.14 0 0 0 0 0 0
4853.24 0 0 0 0 0 0
4853.34 0 0 0 0 0 0
4853.44 0 0 0 0 0 0
4853.54 0 0 0 0 0 0
4853.64 0 0 0 0 0 0
4853.74 0 0 0 0 0 0
4853.84 0 0 0 0 0 0
4853.94 0 0 0 0 0 0
4854.04 0 0 0 0 0 0
4854.14 0 0 0 0 0 0
4854.24 0 0 0 0 0 0
4854.34 0 0 0 0 0 0
4854.44 0 0 0 0 0 0
4854.54 0 0 0 0 0 0
4854.64 0 0 0 0 0 0
4854.74 0 0 0 0 0 0
4854.84 0 0 0 0 0 0
4854.94 0 0 0 0 0 0
4855.04 0 0 0 0 0 0
4855.14 0 0 0 0 0 0
4855.24 0 0 0 0 0 0
4855.34 0 0 0 0 0 0
4855.44 0 0 0 0 0 0
4855.54 0 0 0 0 0 0
4855.64 0 0 0 0 0 0
4855.74 0 0 0 0 0 0
4855.84 0 0 0 0 0 0
4855.94 0 0 0 0 0 0
4856.04 0 0 0 0 0 0
4856.14 0 0 0 0 0 0
4856.24 0 0 0 0 0 0
4856.34 0 0 0 0 0 0
4856.44 0 0 0 0 0 0
4856.54 0 0 0 0 0 0
4856.64 0 0 0 0 0 0
4856.74 0 0 0 0 0 0
4856.84 0 0 0 0 0 0
4856.94 0 0 0 0 0 0
4857.04 0 0 0 0 0 0
4857.14 0 0 0 0 0 0
4857.24 0 0 0 0 0 0
4857.34 0 0 0 0 0 0
4857.44 0 0 0 0 0 0
4857.54 0 0 0 0 0 0
4857.64 0 0 0 0 0 0
4857.74 0 0 0 0 0 0
4857.84 0 0 0 0 0 0
