# time_s east_m north_m up_m qx qy qz qw
4845.34 0.000444625 0.00412907 -0.008 0.0320563 0.142188 0.0187506 0.989143
4845.54 -3.35586e-09 0.00202049 -0.008 -0.112042 0.334358 -0.116293 0.928508
4845.74 -0.000330258 0.00249947 -0.00600004 -0.0927549 0.520055 0.252725 0.810598
4845.94 -0.000996847 0.00345684 -0.0069996 0.548688 -0.588943 0.077113 0.588338
4846.14 -0.00144615 0.00288962 -0.00700495 0.679183 -0.34577 0.558785 -0.326974
4846.34 -0.00141639 0.00347843 -0.0068633 0.464924 -0.517934 0.680742 0.228428
4846.54 -0.00227698 0.00172372 -0.00606934 -0.00499223 0.119914 -0.46637 0.87641
4846.74 -0.000438799 0.00400303 -0.00596775 -0.314558 0.93565 -0.148342 -0.060051
4846.94 -6.41529e-06 0.00412845 -0.00500752 -0.151867 0.574134 -0.455597 0.663127
4847.14 -0.000437594 0.0041299 -0.00499949 0.156666 0.0429094 0.921157 -0.353672
4847.34 -0.00110521 0.0036501 -0.00699999 0.734278 0.438042 0.333914 0.396808
4847.54 0.00133388 -0.00518611 -0.007 -0.0779955 -0.0996151 0.644526 0.754042
4847.74 0.000336645 -0.00470714 -0.005 0.261699 0.180245 0.94736 -0.0391707
4847.94 0.00233111 -0.00432176 -0.006 0.364115 0.72933 0.574723 -0.0720546
4848.14 0.00121954 -0.00518611 -0.007 0.867089 0.349595 0.269344 -0.231071
4848.34 0.00133388 -0.0053788 -0.005 0.702467 0.419998 -0.530277 -0.221242
4848.54 0.0017785 0.00211408 -0.006 0.275486 0.89353 -0.324949 0.141847
4848.74 0.00243909 0.00336382 -0.007 -0.17408 0.718078 -0.471942 -0.480969
4848.94 0.00188648 0.00288484 -0.006 0.400531 -0.275868 0.568402 0.66362
4849.14 0.0017785 0.00230677 -0.004 0.2237 -0.106949 0.96683 0.0613212
4849.34 0.00200081 0.00259306 -0.006 -0.344478 0.762857 -0.535175 -0.113897
4849.54 -0.000330292 0.00153601 -0.01 0.855647 -0.233632 0.139996 0.440097
4849.74 -0.00154984 0.0017287 -0.009 0.575951 0.145771 0.565701 0.571851
4849.94 -0.000330293 0.00144242 -0.011 -0.415533 0.0735357 0.888117 0.182134
4850.14 -0.000774918 0.0018278 -0.01 -0.193344 -0.313537 0.868986 -0.330418
4850.34 -0.00110521 0.000963449 -0.011 -0.281257 0.147691 0.929953 0.18512
4850.54 -0.000774918 0.00192139 -0.011 0.262393 0.180092 0.654704 0.685624
4850.74 -0.00165782 0.00163511 -0.011 0.371458 0.115556 -0.678817 0.622794
4850.94 -0.00188013 0.0017287 -0.011 0.254568 0.189338 0.772748 0.549734
4851.14 -0.000882898 0.00115063 -0.011 0.730213 -0.340374 0.0383656 0.591154
4851.34 -0.000774918 0.00124973 -0.011 0.307251 0.0633457 0.767445 0.559117
4851.53 0.00343632 -0.00403548 0.001 0.25331 -0.186695 0.157519 0.936038
4851.73 0.00365863 -0.00394189 3.47437e-10 -0.0846573 0.0221956 0.563622 0.821384
4851.94 0.00377296 -0.00432176 -1.11493e-09 -0.390529 0.21661 0.850593 0.277596
4852.14 0.00343632 -0.00384279 0.001 0.183415 -0.543586 0.727301 0.376705
4852.33 0.00310603 -0.00394189 -6.35992e-10 -0.044648 0.686851 -0.645332 -0.331342
4852.53 0.00144186 0.00211408 -0.006 -0.371874 -0.623782 0.686675 0.0329303
4852.74 0.00121954 0.00297844 -0.007 0.81949 0.211697 -0.491306 -0.205523
4852.93 0.00111156 0.00288484 -0.008 -0.478583 0.796945 0.335131 0.153376
4853.14 0.000558958 0.00249946 -0.008 -0.448714 0.156233 0.879481 0.0275626
4853.34 0.00088925 0.00326472 -0.007 -0.192399 0.877932 0.0396871 0.436626
4853.53 -0.000660585 0.00394189 -0.013 -0.306666 0.429679 0.761067 0.376974
4853.73 -0.000222311 0.00336382 -0.012 -0.580241 0.556321 0.12255 0.582072
4853.94 -0.000660586 0.00394189 -0.012 -0.66205 0.739902 0.118094 0.016977
4854.13 -0.00132752 0.0036501 -0.016 0.776842 -0.57778 0.0443973 0.246404
4854.33 -0.00188013 0.00451445 -0.016 0.565027 0.148512 0.809516 -0.0580673
4854.53 0.00166417 -0.00326472 -0.006 -0.69246 0.273573 -0.167904 0.646116
4854.73 0.00166417 -0.00403548 -0.007 -0.302269 0.55793 0.526988 0.56536
4854.93 0.00166417 -0.00432176 -0.008 0.202523 0.0527813 0.661287 0.720346
4855.14 0.00166417 -0.00422817 -0.006 0.484386 -0.177611 -0.201019 0.832716
4855.33 0.00188648 -0.00384279 -0.007 0.467001 -0.282413 -0.358611 0.757332
4855.53 -0.00010798 0.00153601 -0.013 0.070384 -0.12121 0.946033 0.29219
4855.73 0.000336645 0.00249946 -0.015 -0.169354 0.623111 -0.465373 0.605376
4855.93 -0.000222311 0.0018278 -0.014 -0.291363 0.338314 0.892184 0.0682562
4856.13 0.000558958 0.00134332 -0.016 -0.137388 0.266403 0.925098 0.233128
4856.33 -0.000330293 0.00105704 -0.013 0.292728 -0.54464 0.74706 0.244086
4856.53 0.00133388 0.00134332 -0.016 0.048102 -0.104188 0.990244 -0.0790495
4856.73 0.000781271 0.0017287 -0.017 -0.177138 -0.119291 0.950724 -0.224758
4856.93 0.000666939 0.00105704 -0.015 0.12848 0.197214 0.212517 0.948386
4857.13 0.00121954 0.00134332 -0.016 0.168731 0.130505 0.280298 0.935912
4857.33 0.00121954 0.000864353 -0.014 0.278143 -0.00330575 0.398109 0.874148
4857.54 0.00410326 -0.0053788 -0.001 0.212145 0.111222 0.732258 0.637513
4857.74 0.00465586 -0.00528521 -0.002 -0.233543 0.47353 0.844163 -0.0928215
4857.94 0.00410326 -0.00499893 -9.54417e-11 0.235542 -0.158462 0.513643 0.809679
4858.14 0.00388094 -0.00442086 0.001 0.143137 -0.0612855 0.967728 0.198139
4858.34 0.00377296 -0.0054779 -0.001 0.0649562 0.103698 0.92474 -0.360393
4858.54 0.00365863 -0.00057807 -1.69539e-10 0.417349 -0.23388 -0.319935 0.817778
4858.74 0.00343632 -0.000478973 -0.002 0.105807 -0.231706 -0.418788 0.871627
4858.94 0.00310603 0.00019269 -0.002 0.472175 -0.168047 -0.48138 0.719086
4859.14 0.00322036 9.35932e-05 -0.002 -0.0831166 0.0308605 0.678709 0.729036
4859.34 0.00343632 0.000671663 -0.002 0.0374267 -0.0203601 0.392662 0.918695
4859.53 -0.00165782 0.00451445 -0.01 0.0440659 0.0598768 0.142644 0.986978
4859.74 -0.00165782 0.00509252 -0.008 0.382979 -0.0874807 -0.231323 0.890036
4859.94 -0.00210244 0.00528521 -0.009 -0.348116 0.144591 0.918649 -0.118289
4860.14 -0.00199446 0.0053788 -0.007 -0.206664 0.239092 0.889426 -0.330222
4860.34 -0.00210244 0.00567059 -0.008 0.188948 -0.028622 0.106728 0.97575
4860.54 0.00332834 0.00163511 -0.005 0.0842672 -0.0108844 0.875431 0.475817
4860.74 0.00233111 0.00124973 -0.004 -0.143084 0.173544 0.923515 -0.310693
4860.94 0.00155619 0.00134332 -0.004 0.113946 -0.055054 0.949234 -0.287994
4861.14 0.00133388 0.00163511 -0.005 -0.053869 0.159297 0.967965 0.186455
4861.34 0.00200081 0.00105704 -0.005 0.285741 0.377956 0.862005 -0.180135
4861.54 0.00365863 -0.0054779 -0.001 0.277198 0.917823 0.0930006 0.26854
4861.74 0.00343632 -0.00509252 -1.03947e-10 -0.327424 0.48345 0.489442 0.647701
4861.94 0.00343632 -0.00480624 0.001 0.704871 -0.594836 0.224366 -0.314621
4862.14 0.00343632 -0.00576418 0.002 -0.364541 -0.0350863 0.929884 0.0345666
4862.34 0.00243909 -0.00567059 0.001 -0.363983 0.362259 0.855229 0.0697684
4862.54 0.000114332 0.00220768 -0.007 -0.166565 0.104901 0.98008 -0.026346
4862.74 0.000666938 0.00153601 -0.007 -0.277305 0.479711 -0.117112 0.824175
4862.94 0.000336645 0.00192139 -0.006 -0.0170971 0.176108 0.723485 0.66728
4863.14 0.00088925 0.00211408 -0.005 -0.597392 0.760402 0.223466 -0.12237
4863.34 0.000444626 0.00153601 -0.007 -0.425096 0.546693 -0.133629 0.708917
4863.54 0.00322036 -0.00384279 -0.001 -0.281248 -0.472322 0.283775 0.785674
4863.74 0.00355065 -0.00384279 0.000999999 -0.0838547 0.118034 0.90886 0.391164
4863.94 0.00365863 -0.00269215 0.002 -0.532697 0.680117 -0.201209 0.461725
4864.14 0.00299805 -0.00317113 0.001 -0.101805 -0.368877 0.922648 0.0478106
4864.34 0.00377296 -0.00317113 0.002 -0.109313 0.00868341 0.474697 0.873291
4864.54 0.00121954 0.00307203 -0.007 0.451307 -0.473579 0.750414 0.0944663
4864.74 0.00155619 0.00259306 -0.008 0.393785 -0.414397 0.818729 -0.0537647
4864.94 0.000558958 0.0037492 -0.008 0.176699 -0.267309 0.944878 -0.067291
4865.14 0.00121954 0.0036501 -0.009 -0.122626 -0.0442527 0.769965 0.624627
4865.34 0.00144186 0.00442086 -0.011 -0.183031 0.106533 0.827608 0.519823
4865.54 0.00322036 -0.00432176 -0.004 -0.09685 -0.0588824 0.936809 -0.330972
4865.74 0.00243909 -0.00403548 -0.005 -0.363961 0.270579 0.573612 0.682121
4865.94 0.0017785 -0.00413458 -0.009 0.248018 -0.010569 -0.658916 0.710074
4866.14 0.0026614 -0.00422817 -0.008 -0.344172 0.189517 0.540513 0.743959
4866.34 0.00310603 -0.00403548 -0.007 -0.149324 0.273201 -0.433237 0.845795
4866.54 -1.14573e-10 0.00412907 -0.006 -0.0636786 -0.276746 0.955046 -0.0851096
4866.73 -0.00110521 0.00412907 -0.009 -0.0753075 0.199146 -0.58587 0.781937
4866.94 -0.000882898 0.00403548 -0.01 -0.111971 0.146815 -0.282947 0.941195
4867.14 -0.000997231 0.0037492 -0.011 -0.0879311 0.0135224 -0.519827 0.849627
4867.33 -0.00110521 0.00451445 -0.01 -0.000441283 0.0892422 -0.124501 0.988198
4867.54 0.00078127 -0.00220768 -0.002 0.0371063 -0.217478 0.965729 -0.136724
4867.74 0.000889251 -0.00230677 -0.002 -0.207682 0.269442 -0.735905 0.585416
4867.93 0.00277573 -0.00220768 -2.96407e-10 -0.0568694 -0.286804 0.956276 0.00680828
4868.13 0.0017785 -0.00240037 -0.001 -0.181813 0.158106 -0.710847 0.66079
4868.33 0.00243909 -0.00202049 -0.001 -0.124419 -0.0169508 0.837102 0.532441
4868.53 0.00355065 -0.00297844 0.005 -0.10775 0.108926 0.545893 0.823727
4868.73 0.00277573 -0.00297844 0.005 -0.0754151 -0.103193 -0.118629 0.984678
4868.93 0.00343632 -0.00288484 0.008 -0.0188855 -0.0967774 0.943367 0.316758
4869.13 0.00310603 -0.00259306 0.008 -0.0539125 -0.0657755 0.179928 0.979996
4869.33 0.0026614 -0.00317113 0.009 -0.059754 -0.0844624 -0.043757 0.99367
4869.53 0.00554511 -0.00432176 0.009 -0.0794462 -0.0903666 0.929833 0.347755
4869.73 0.00543713 -0.00442086 0.007 -0.197655 0.10355 0.368023 0.902645
4869.93 0.00565309 -0.00413458 0.008 0.0680363 -0.111893 0.974209 0.183761
4870.13 0.00598974 -0.00394189 0.008 -0.355984 0.198915 -0.644965 0.646319
4870.33 0.00554511 -0.00336382 0.006 -0.301267 0.15476 0.0560836 0.939224
4870.53 0.00155619 0.00336382 -0.004 -0.183417 0.242066 6.0076e-05 0.952766
4870.73 0.00111156 0.0037492 -0.003 -0.108791 0.242044 -0.502473 0.822861
4870.93 0.00111156 0.00336382 -0.002 -0.112943 0.256811 -0.235958 0.930385
4871.13 0.00121954 0.0037492 -0.002 -0.179596 0.195721 -0.308088 0.913521
4871.33 0.00121954 0.00345741 -0.001 0.367421 0.113792 -0.546507 0.743897
4871.53 0.00510049 -9.35936e-05 -0.003 -0.0908974 0.14858 -0.238581 0.955374
4871.73 0.00432557 0.00019269 -0.001 -0.198564 0.339881 -0.594066 0.701526
4871.93 0.00399528 0.000478973 -0.003 -0.299526 0.172168 0.0606548 0.936463
4872.13 0.00410326 0.00057807 -0.003 -0.31583 0.215556 -0.0164363 0.92386
4872.33 0.00410326 0.000770759 -0.005 0.0165267 0.175648 -0.805494 0.565733
