# time_s bgx bgy bgz bax bay baz
2487.73 0 0 0 0 0 0
2487.83 0 0 0 0 0 0
2487.93 0 0 0 0 0 0
2488.03 0 0 0 0 0 0
2488.13 0 0 0 0 0 0
2488.23 0 0 0 0 0 0
2488.33 0 0 0 0 0 0
2488.43 0 0 0 0 0 0
2488.53 0 0 0 0 0 0
2488.63 0 0 0 0 0 0
2488.73 0 0 0 0 0 0
2488.83 0 0 0 0 0 0
2488.93 0 0 0 0 0 0
2489.03 0 0 0 0 0 0
2489.13 0 0 0 0 0 0
2489.23 0 0 0 0 0 0
2489.33 0 0 0 0 0 0
2489.43 0 0 0 0 0 0
2489.53 0 0 0 0 0 0
2489.63 0 0 0 0 0 0
2489.73 0 0 0 0 0 0
2489.83 0 0 0 0 0 0
2489.93 0 0 0 0 0 0
2490.03 0 0 0 0 0 0
2490.13 0 0 0 0 0 0
2490.23 0 0 0 0 0 0
2490.33 0 0 0 0 0 0
2490.43 0 0 0 0 0 0
2490.53 0 0 0 0 0 0
2490.63 0 0 0 0 0 0
2490.73 0 0 0 0 0 0
2490.83 0 0 0 0 0 0
2490.93 0 0 0 0 0 0
2491.03 0 0 0 0 0 0
2491.13 0 0 0 0 0 0
2491.23 0 0 0 0 0 0
2491.33 0 0 0 0 0 0
2491.43 0 0 0 0 0 0
2491.53 0 0 0 0 0 0
2491.63 0 0 0 0 0 0
2491.73 0 0 0 0 0 0
2491.83 0 0 0 0 0 0
2491.93 0 0 0 0 0 0
2492.03 0 0 0 0 0 0
2492.13 0 0 0 0 0 0
2492.23 0 0 0 0 0 0
2492.33 0 0 0 0 0 0
2492.43 0 0 0 0 0 0
2492.53 0 0 0 0 0 0
2492.63 0 0 0 0 0 0
2492.73 0 0 0 0 0 0
2492.83 0 0 0 0 0 0
2492.93 0 0 0 0 0 0
2493.03 0 0 0 0 0 0
2493.13 0 0 0 0 0 0
2493.23 0 0 0 0 0 0
2493.33 0 0 0 0 0 0
2493.43 0 0 0 0 0 0
2493.53 0 0 0 0 0 0
2493.63 0 0 0 0 0 0
2493.73 0 0 0 0 0 0
2493.83 0 0 0 0 0 0
2493.93 0 0 0 0 0 0
2494.03 0 0 0 0 0 0
2494.13 0 0 0 0 0 0
2494.23 0 0 0 0 0 0
2494.33 0 0 0 0 0 0
2494.43 0 0 0 0 0 0
2494.53 0 0 0 0 0 0
2494.63 0 0 0 0 0 0
2494.73 0 0 0 0 0 0
2494.83 0 0 0 0 0 0
2494.93 0 0 0 0 0 0
2495.03 0 0 0 0 0 0
2495.13 0 0 0 0 0 0
2495.23 0 0 0 0 0 0
2495.33 0 0 0 0 0 0
2495.43 0 0 0 0 0 0
2495.53 0 0 0 0 0 0
2495.63 0 0 0 0 0 0
2495.73 0 0 0 0 0 0
2495.83 0 0 0 0 0 0
2495.93 0 0 0 0 0 0
2496.03 0 0 0 0 0 0
2496.13 0 0 0 0 0 0
2496.23 0 0 0 0 0 0
2496.33 0 0 0 0 0 0
2496.43 0 0 0 0 0 0
2496.53 0 0 0 0 0 0
2496.63 0 0 0 0 0 0
2496.73 0 0 0 0 0 0
2496.83 0 0 0 0 0 0
2496.93 0 0 0 0 0 0
2497.03 0 0 0 0 0 0
2497.13 0 0 0 0 0 0
2497.23 0 0 0 0 0 0
2497.33 0 0 0 0 0 0
2497.43 0 0 0 0 0 0
2497.53 0 0 0 0 0 0
2497.63 0 0 0 0 0 0
2497.73 0 0 0 0 0 0
2497.83 0 0 0 0 0 0
2497.93 0 0 0 0 0 0
2498.03 0 0 0 0 0 0
2498.13 0 0 0 0 0 0
2498.23 0 0 0 0 0 0
