# time_s east_m north_m up_m qx qy qz qw
2487.93 -0.02683 -0.028441 0.008 0.52504 0.588022 0.326609 0.52143
2488.13 -0.02683 -0.0288264 0.008 -0.467712 -0.267489 0.762132 -0.358958
2488.33 -0.0269379 -0.02892 0.008 -0.613198 0.211637 0.709111 0.276333
2488.53 -0.02683 -0.0279621 0.01 -0.570387 -0.0267091 0.756731 0.31828
2488.73 -0.0272746 -0.0281548 0.011 -0.118332 0.55741 0.7171 -0.401322
2488.93 -0.0247212 -0.0279621 0.01 0.100164 0.744474 -0.657658 -0.056675
2489.13 -0.0251658 -0.0286337 0.009 -0.133312 -0.37714 -0.629426 0.666196
2489.33 -0.0250578 -0.0276703 0.012 -0.0369683 0.919569 0.356744 0.1605
2489.53 -0.0249435 -0.0271913 0.013 0.188493 0.964091 -0.154054 -0.106143
2489.73 -0.0238383 -0.0275767 0.011 -0.183895 0.871087 0.392456 -0.231016
2489.93 -0.0262774 -0.0275767 0.008 -0.348809 0.765569 0.496627 -0.213535
2490.13 -0.0259407 -0.0274776 0.01 0.0138892 0.853046 0.374145 -0.363504
2490.33 -0.0269379 -0.0280557 0.011 -0.0745782 0.863222 -0.485191 0.117793
2490.53 -0.0273826 -0.0282484 0.009 0.221051 -0.371368 0.889022 0.1512
2490.73 -0.0281575 -0.02892 0.011 -0.475792 0.590363 0.432048 -0.488291
2490.93 -0.029377 -0.0317058 0.008 -0.482011 0.538296 0.126198 0.679689
2491.13 -0.0338106 -0.0361266 0.01 0.183325 0.680768 0.467978 0.532864
2491.33 -0.0405752 -0.0442967 0.012 -0.0504214 0.897272 0.43783 -0.0257886
2491.53 -0.0522181 -0.0574602 0.011 -0.143488 0.65292 0.733383 -0.123518
2491.73 -0.0666303 -0.0744664 0.013 -0.0941565 0.0138801 0.905843 -0.412784
2491.93 -0.0873562 -0.0972424 0.01 -0.259598 0.632513 -0.503071 0.528635
2492.13 -0.108203 -0.119242 0.012 -0.603159 0.778662 0.0893924 -0.147966
2492.33 -0.122831 -0.136155 0.011 0.463483 -0.414075 0.766446 0.162129
2492.53 -0.137357 -0.150854 0.011 0.242621 -0.0556133 0.958467 0.139225
2492.73 -0.156534 -0.170938 0.012 -0.458998 0.773513 -0.433696 -0.0539015
2492.93 -0.181591 -0.195151 0.011 0.787481 0.607358 -0.0664968 0.0810488
2493.13 -0.209527 -0.225326 0.00800001 0.906568 0.274941 -0.314445 0.0605428
2493.33 -0.241235 -0.258766 0.01 0.0568895 -0.384018 0.574209 0.720818
2493.53 -0.279256 -0.298157 0.011 0.972979 0.124786 0.151707 -0.121344
2493.73 -0.322493 -0.343032 0.013 0.942836 -0.210521 -0.015871 -0.257856
2493.93 -0.368829 -0.392708 0.016 0.795815 0.357141 -0.465648 -0.149332
2494.13 -0.422267 -0.44681 0.013 0.33243 -0.184396 0.710641 0.592011
2494.33 -0.482018 -0.505613 0.014 -0.430146 -0.210264 0.771242 0.419464
2494.53 -0.544876 -0.568551 0.0180001 -0.0914462 0.186082 0.944235 0.255795
2494.73 -0.610502 -0.636582 0.0180001 -0.245767 0.907629 0.302622 0.155655
2494.93 -0.684558 -0.707013 0.0120001 -0.000684938 -0.488863 0.861035 0.140111
