iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  3.401058e+10    0.00e+00    7.94e+05   0.00e+00   0.00e+00  1.00e+04        0    3.45e-03    1.19e-02
   1  6.214287e+05    3.40e+10    1.66e+03   0.00e+00   1.00e+00  3.00e+04        1    3.19e-02    4.40e-02
   2  1.082074e+02    6.21e+05    1.71e+01   7.96e+01   1.00e+00  9.00e+04        1    1.38e-02    5.79e-02
   3  1.011300e+02    7.08e+00    4.48e-01   9.43e-01   1.00e+00  2.70e+05        1    1.36e-02    7.15e-02
   4  1.006456e+02    4.84e-01    3.66e-01   7.79e-02   1.00e+00  8.10e+05        1    1.37e-02    8.53e-02
   5  9.963563e+01    1.01e+00    3.12e-01   1.92e-01   1.00e+00  2.43e+06        1    1.42e-02    9.97e-02
   6  9.773392e+01    1.90e+00    2.36e-01   4.49e-01   1.00e+00  7.29e+06        1    1.39e-02    1.14e-01
   7  9.520450e+01    2.53e+00    1.42e-01   8.32e-01   1.00e+00  2.19e+07        1    1.50e-02    1.29e-01
   8  9.380104e+01    1.40e+00    5.10e-02   8.89e-01   1.00e+00  6.56e+07        1    1.38e-02    1.43e-01
   9  9.360008e+01    2.01e-01    8.08e-03   4.19e-01   1.00e+00  1.97e+08        1    1.60e-02    1.59e-01
  10  9.359498e+01    5.10e-03    4.78e-04   7.39e-02   1.00e+00  5.90e+08        1    1.48e-02    1.73e-01
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  9.359498e+01    0.00e+00    4.78e-04   0.00e+00   0.00e+00  1.00e+04        0    3.62e-03    1.06e-02
